track_id,artist,title,year,check
01lYEV7KZT34GOAW2MIgHF,Niemen,Jednego serca,1969,
6Thj5gzEsP48xBGVtsaR4I,Anna Jantar,"Mój, tylko mój",1975,
72aL3G7P0f6qCpghcxmL25,Krzysztof Krawczyk,Pamietam Ciebie z tamtych lat,1978*,
0kusZTw9ZI8f57WUIdNmyD,Czerwone Gitary,Byłaś mej pamięci wierszem,1974,
3FQCYRp64b7hiOmczsPZ2b,Niemen,Muzyko moja,1971*,
0l0qaLTa6XZHCUW4FN5Clw,Violetta Villas,Ja jestem już taka - Live,1993*,
6wPE8LxLmaMt1PznwuZc3H,Violetta Villas,Pocałunek ognia - Live,1993*,
53dUFcvlygIsWmpwIzaMWg,Janusz Radek,Ballada o cudownych narodzinach Bolesława Krzywoustego,2004,
0laXQQFWXjXtRARRJh2U5I,Edyta Geppert,"Życie, kocham cię nad życie",1986*,
6rlf78A9lU3dVlUKWCAANg,"Katarzyna Sobczyk, Czerwono Czarni",Był Taki Ktoś,1964*,
441D5n5Cu6pJlSV53UwxUN,"Niemen, Akwarele",Baw się w ciuciubabkę,1968,
6uvAhUgZvgbCCsbSSWNSoG,Jerzy Połomski,Cała sala śpiewa z nami,1998*,
1UnyINtz1ofbohRdWUaFOM,Bajm,Nie ma wody na pustyni,1983*,
2xtIazYoqL33NVSWAJn8k0,Maanam,Boskie Buenos (Buenos Aires),1982*,
0x3ArfSu4JpEwqQpKSihMa,Andrzej Rosiewicz,Najwięcej Witaminy (Live),1980*,
6HEz9oJg2fNPfLlAcvRlqA,Andrzej Rosiewicz,Wieje Wiosna Ze Wschodu,1987*,
6WlcpNWiRy5cCHOWgs5PU3,"Andrzej Koziński, Andrzej Rosiewicz",Chłopcy radarowcy,2015*,
6vFfxjQxrb0tPYPx9p8a1x,Andrzej Rosiewicz,Czy Czuje Pani Cza Czę,1980*,
78m1YhFSRqykwJWNJrPeeU,Andrzej Zaucha,Byłaś serca biciem,1989*,
2dppL2EhBSLFIis1lVq8YT,Niemen,Jesień,1971,
3oGIcu9GA5xHvrZcfiHS42,Czerwone Gitary,Jesień idzie przez park,1979*,
15hFIfecrt1vEKtOwmHBoI,"Maryla Rodowicz, Stan Borys",Dziś Prawdziwych Cyganów Już Nie Ma,1976*,
38ePDoX3TjisHAIAU1qES5,"Barbara Dunin, Zbigniew Kurtycz",Cicha woda,1975*,
6dMe8xDz4Q35tcnhHO8N89,Anna Jantar,Staruszek świat,1975,
2O7mO6fxYKqeK7RMG92X76,Maryla Rodowicz,Do łezki łezka,1974,
1kBN3IRdLUS60mhGFtd1kI,Krzysztof Krawczyk,Rysunek na szkle,1976*,
2srsYOCNTP0EDtwBA4lQLW,Niemen,Sprzedaj mnie wiatrowi,1971*,
1K6qpidNHLeyqpCaTH6SQi,"Helena Majdaniec, Czerwono Czarni",Bilet W Jedna Stronę,1963*,
2vPeV406asWgd3zvAt5RYi,Niemen,Nie jesteś moja,1970,
