artist,title,year
Czesław Niemen,Dziwny jest ten świat,1967
Czesław Niemen,Sen o Warszawie,1966
Czesław Niemen,Czy mnie jeszcze pamiętasz,1967
Czerwone Gitary,Anna Maria,1968
Czerwone Gitary,Historia jednej znajomości,1966
Czerwone Gitary,Nie zadzieraj nosa,1967
Czerwone Gitary,Biały krzyż,1969
Skaldowie,Z kopyta kulig rwie,1968
Skaldowie,Wszystko mi mówi że mnie ktoś pokochał,1969
Trubadurzy,Znamy się tylko z widzenia,1968
Anna German,Tańczące Eurydyki,1964
Karin Stanek,Malowana lala,1962
Filipinki,Batumi,1963
Ewa Demarczyk,Grande Valse Brillante,1967
Breakout,Gdybyś kochał hej,1969
Niebiesko-Czarni,Nie pukaj do mych drzwi,1965
Czerwone Gitary,Nie spoczniemy,1977
Czerwone Gitary,Płoną góry płoną lasy,1973
Marek Grechuta,Dni których nie znamy,1971
Marek Grechuta,Ocalić od zapomnienia,1971
Marek Grechuta,Będziesz moją panią,1972
Marek Grechuta,Wiosna ach to ty,1986
Skaldowie,Nie domykajmy drzwi,1987
Maryla Rodowicz,Małgośka,1973
Maryla Rodowicz,Sing-Sing,1976
Maryla Rodowicz,Remedium,1970
Anna Jantar,Tyle słońca w całym mieście,1974
Anna Jantar,Nic nie może wiecznie trwać,1978
Budka Suflera,Cień wielkiej góry,1975
Budka Suflera,Sen o dolinie,1975
Breakout,Poszłabym za tobą,1971
Krzysztof Krawczyk,Parostatek,1972
Irena Jarocka,Odpływają kawiarenki,1974
Zbigniew Wodecki,Zacznij od Bacha,1976
Zbigniew Wodecki,Lubię wracać tam gdzie byłem,1983
Halina Frąckowiak,Bądź gotowy do drogi,1974
Stan Borys,Jaskółka uwięziona,1970
Czesław Niemen,Bema pamięci żałobny rapsod,1970
Andrzej Dąbrowski,Do zakochania jeden krok,1971
Danuta Rinn,Gdzie ci mężczyźni,1974
Klan,Z brzytwą na poziomki,1971
2 plus 1,Chodź pomaluj mój świat,1976
Krystyna Prońko,Jesteś lekiem na całe zło,1979
Andrzej i Eliza,Nie liczę godzin i lat,1975
SBB,Freedom with Us,1974
Maanam,Boskie Buenos,1980
Maanam,Kocham Cię Kochanie Moje,1980
Maanam,Krakowski spleen,1982
Maanam,Lucciola,1984
Maanam,Oddech szczura,1981
Republika,Kombinat,1982
Republika,Biała flaga,1981
Republika,Telefony,1982
Republika,Śmierć w bikini,1983
Perfect,Autobiografia,1981
Perfect,Chcemy być sobą,1981
Perfect,Nie płacz Ewka,1981
Perfect,Pepe wróć,1981
Lady Pank,Mniej niż zero,1983
Lady Pank,Kryzysowa narzeczona,1983
Lady Pank,Zawsze tam gdzie ty,1984
Lady Pank,Mniej niż zero,1983
Budka Suflera,Jolka Jolka pamiętasz,1981
Budka Suflera,Takie tango,1985
Budka Suflera,Bal wszystkich świętych,1985
Bajm,Piechotą do lata,1984
Bajm,"Józek, nie daruję Ci tej nocy",1983
Bajm,Biała armia,1990
Kombi,Słodkiego miłego życia,1984
Kombi,Black and White,1985
Kombii,Pokolenie,2004
Kult,Arahja,1988
Kult,Do Ani,1988
TSA,Mass Media,1982
Oddział Zamknięty,Party,1983
Dżem,Whisky,1985
Dżem,List do M,1989
Dżem,Wehikuł czasu,1989
Aya RL,Skóra,1985
Lombard,Przeżyj to sam,1985
Lombard,Szklana pogoda,1983
Turbo,Dorosłe dzieci,1983
Papa Dance,Nasz Disneyland,1986
Urszula,Luz Blues,1983
Rezerwat,Zaopiekuj się mną,1985
Izabela Trojanowska,Wszystko czego dziś chcę,1981
2 plus 1,Windą do nieba,1984
Zbigniew Wodecki,Chałupy Welcome To,1985
Sztywny Pal Azji,Wieża radości wieża samotności,1988
Andrzej Zaucha,Bądź moim natchnieniem,1988
Maryla Rodowicz,Damą być,1985
Brygada Kryzys,Centrala,1982
Republika,Mamona,1998
Kobranocka,Kocham cię jak Irlandię,1990
Chłopcy z Placu Broni,Kocham wolność,1990
Róże Europy,Jedwab,1990
Hey,Teksański,1993
Hey,Moja i Twoja nadzieja,1993
Hey,Zazdrość,1995
Wilki,Baśka,1992
Wilki,Beniamin,1993
Wilki,Eli lama sabachthani,1992
Varius Manx,Zanim zrozumiesz,1996
Varius Manx,Orła cień,1995
Varius Manx,Ruchome piaski,1996
Edyta Bartosiewicz,Sen,1997
Edyta Bartosiewicz,Jenny,1994
Myslovitz,Chłopcy,1998
Myslovitz,Dla Ciebie,1998
Kult,Baranek,1994
Kult,Lewe lewe loff,1993
T.Love,Warszawa,1991
T.Love,Ajrisz,1996
T.Love,King,1994
Elektryczne Gitary,Człowiek z liściem,1994
Elektryczne Gitary,Jestem z miasta,1993
Elektryczne Gitary,Kiler,1997
Golden Life,Oprócz błękitnego nieba,1993
Kayah,Testosteron,1995
Kayah i Bregović,Prawy do lewego,1999
Kayah i Bregović,Śpij kochanie śpij,1999
Kayah i Bregović,Trudno kochać,1999
De Mono,Kochać inaczej,1990
De Mono,Zostańmy sami,1993
O.N.A.,Kiedy powiem sobie dość,1998
Justyna Steczkowska,Dziewczyna Szamana,1996
Kasia Kowalska,A to co mam,1994
Norbi,Kobiety są gorące,1995
Bayer Full,Majteczki w kropeczki,1993
Kaliber 44,Plus i minus,1996
Golec uOrkiestra,Ściernisko,1999
Big Cyc,Makumba,1994
Reni Jusis,Zakręcona,1999
Brathanki,Czerwone korale,2000
Myslovitz,Długość dźwięku samotności,2000
